年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,福建,历史,本科二批,三亚学院,,,,384,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,三亚学院,,,,345,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,三峡大学,,,,456,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,三峡大学,,,,474,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,三峡大学,,,,421,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,三峡大学科技学院,,,,391,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,三峡大学科技学院,,,,363,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,三明学院,,,,396,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,三明学院,,,,343,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,三江学院,,,,414,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,三江学院,,,,357,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海中医药大学,,,,519,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海交通大学,,,,617,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海交通大学,,,,644,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海交通大学医学院,,,,635,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海健康医学院,,,,402,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海兴伟学院,,,,331,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海商学院,,,,487,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海商学院,,,,442,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海外国语大学,,,,581,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海外国语大学,,,,571,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海外国语大学贤达经济人文学院,,,,397,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海外国语大学贤达经济人文学院,,,,345,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海大学,,,,568,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海大学,,,,550,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海对外经贸大学,,,,546,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海对外经贸大学,,,,521,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海工程技术大学,,,,490,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海工程技术大学,,,,429,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海师范大学,,,,528,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海师范大学,,,,497,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海师范大学,,,,489,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海师范大学,,,,430,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海师范大学天华学院,,,,388,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海师范大学天华学院,,,,347,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海应用技术大学,,,,440,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海建桥学院,,,,405,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海建桥学院,,,,356,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海政法学院,,,,498,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海政法学院,,,,450,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海杉达学院,,,,401,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海杉达学院,,,,373,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海海事大学,,,,523,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海海事大学,,,,496,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海海洋大学,,,,520,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海海洋大学,,,,467,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海理工大学,,,,532,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海理工大学,,,,501,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海电力大学,,,,368,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海电机学院,,,,439,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海电机学院,,,,426,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海立信会计金融学院,,,,551,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海立信会计金融学院,,,,474,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海立信会计金融学院,,,,540,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海立信会计金融学院,,,,448,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海第二工业大学,,,,436,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海视觉艺术学院,,,,421,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海视觉艺术学院,,,,368,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,上海财经大学,,,,595,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,上海财经大学,,,,614,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上海财经大学浙江学院,,,,412,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上海财经大学浙江学院,,,,363,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,上饶师范学院,,,,432,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,上饶师范学院,,,,381,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,东北农业大学,,,,515,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东北农业大学,,,,479,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,东北大学,,,,548,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东北大学,,,,544,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东北大学秦皇岛分校,,,,513,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,东北师范大学,,,,544,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东北师范大学,,,,485,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,东北林业大学,,,,520,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东北林业大学,,,,481,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,东北电力大学,,,,383,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,东北电力大学,,,,404,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东北石油大学,,,,441,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科一批,东北财经大学,,,,489,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东北财经大学,,,,511,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东华大学,,,,537,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,历史,本科二批,东华理工大学,,,,466,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科一批,东华理工大学,,,,441,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,福建,物理,本科二批,东华理工大学,,,,423,,福建省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
