年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,云南,历史,本科二批,三亚学院,,,,463,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科二批,三亚学院,,,,407,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科二批,三峡大学,,,,482,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,历史,本科二批,三峡大学科技学院,,,,466,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科二批,三峡大学科技学院,,,,410,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,历史,本科二批,三明学院,,,,509,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科二批,三明学院,,,,444,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,历史,本科二批,三江学院,,,,460,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科二批,三江学院,,,,396,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科一批,上海中医药大学,,,,547,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,历史,本科一批,上海交通大学,,,,670,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科一批,上海交通大学,,,,674,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科一批,上海交通大学医学院,,,,655,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,历史,本科二批,上海体育学院,,,,545,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科二批,上海体育学院,,,,472,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科二批,上海健康医学院,,,,462,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,历史,本科二批,上海兴伟学院,,,,503,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,云南,物理,本科二批,上海兴伟学院,,,,390,,云南省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
