年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2022,宁夏,历史,本科二批,三亚学院,,,7,440,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,三亚学院,,,3,359,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科一批,三峡大学,,,12,487,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,三峡大学,,,33,428,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,三峡大学科技学院,,,3,459,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,三峡大学科技学院,,,7,382,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,三明学院,,,3,467,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,三明学院,,,8,389,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,上海中侨职业技术大学,,,8,426,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海中侨职业技术大学,,,4,357,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科一批,上海交通大学,,,1,606,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海交通大学,,,9,622,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海交通大学医学院,,,2,614,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,上海商学院,,,7,479,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海商学院,,,5,405,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,提前本科一批,上海外国语大学,,,2,532,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,提前本科一批,上海外国语大学,,,2,503,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,上海外国语大学贤达经济人文学院,,,8,443,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海外国语大学贤达经济人文学院,,,7,352,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海工程技术大学,,,14,406,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海师范大学天华学院,,,3,365,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海应用技术大学,,,10,407,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,上海建桥学院,,,12,436,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海建桥学院,,,13,354,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,上海杉达学院,,,11,436,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海杉达学院,,,11,361,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科一批,上海海事大学,,,14,489,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海海事大学,,,38,436,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,提前本科二批,上海海关学院,,,2,526,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海海洋大学,,,6,451,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海理工大学,,,68,469,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海电力大学,,,17,488,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海电机学院,,,36,427,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科一批,上海立信会计金融学院,,,12,491,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海立信会计金融学院,,,48,430,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,上海立达学院,,,3,427,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上海立达学院,,,4,350,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批预科,上海第二工业大学,,,3,393,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,上海财经大学,,,22,526,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科二批,上饶师范学院,,,12,477,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科二批,上饶师范学院,,,8,406,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科一批,东北农业大学,,,3,505,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,东北农业大学,,,12,445,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批预科,东北大学,,,2,429,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科一批,东北大学秦皇岛分校,,,2,525,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,东北大学秦皇岛分校,,,28,507,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,历史,本科一批预科,东北师范大学,,,1,502,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,宁夏,物理,本科一批,东北师范大学,,,14,418,,宁夏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
