年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,海南,历史,本科批,三亚学院,,,,510,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,三亚学院,,,,504,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,三峡大学,,,,665,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,三峡大学,,,,596,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,三峡大学科技学院,,,,541,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,三峡大学科技学院,,,,491,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,三明学院,,,,615,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,三明学院,,,,566,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海交通大学,,,,841,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海交通大学,,,,852,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海交通大学医学院,,,,808,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海商学院,,,,657,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海商学院,,,,602,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海外国语大学,,,,796,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海外国语大学,,,,765,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海工程技术大学,,,,617,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海师范大学,,,,707,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海师范大学,,,,662,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海师范大学天华学院,,,,548,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海师范大学天华学院,,,,496,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海建桥学院,,,,570,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海建桥学院,,,,521,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海政法学院,,,,712,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海政法学院,,,,672,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海海事大学,,,,719,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海海事大学,,,,663,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海海关学院,,,,677,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海海关学院,,,,652,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海海洋大学,,,,638,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海理工大学,,,,662,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海电力大学,,,,639,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海电机学院,,,,605,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上海立信会计金融学院,,,,717,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海立信会计金融学院,,,,683,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海第二工业大学,,,,629,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上海财经大学,,,,791,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,上饶师范学院,,,,613,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,上饶师范学院,,,,564,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,历史,本科批,东北农业大学,,,,633,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,海南,物理,本科批,东北农业大学,,,,554,,海南省考试局,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
