年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,江西,历史,本科二批,三亚学院,,,,465,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,物理,本科二批,三亚学院,,,,435,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,历史,本科一批,三峡大学,,,,541,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,物理,本科一批,三峡大学,,,,524,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,历史,本科二批,三峡大学科技学院,,,,461,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,物理,本科二批,三峡大学科技学院,,,,437,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,历史,本科二批,三明学院,,,,471,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,物理,本科二批,三明学院,,,,443,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,历史,本科二批,三江学院,,,,480,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,物理,本科二批,三江学院,,,,439,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,物理,本科一批,上海交通大学,,,,661,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,物理,本科一批,上海交通大学医学院,,,,645,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,历史,本科二批,上海体育学院,,,,534,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,江西,物理,本科二批,上海体育学院,,,,504,,江西省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
