年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,广西,历史,本科二批,三亚学院,,,,393,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,三亚学院,,,,331,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,三峡大学,,,,492,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,三峡大学科技学院,,,,392,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,三峡大学科技学院,,,,323,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,三明学院,,,,473,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,三明学院,,,,390,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,三江学院,,,,389,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,三江学院,,,,328,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海中医药大学,,,,501,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海交通大学,,,,651,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海交通大学,,,,651,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海交通大学医学院,,,,626,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海体育学院,,,,508,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海体育学院,,,,431,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海商学院,,,,522,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海商学院,,,,452,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海外国语大学,,,,615,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海外国语大学,,,,577,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海外国语大学贤达经济人文学院,,,,388,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海外国语大学贤达经济人文学院,,,,323,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海大学,,,,597,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海大学,,,,554,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海对外经贸大学,,,,583,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海对外经贸大学,,,,526,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海工程技术大学,,,,520,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海工程技术大学,,,,461,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海师范大学,,,,540,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海师范大学,,,,470,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海师范大学天华学院,,,,388,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海师范大学天华学院,,,,322,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海应用技术大学,,,,528,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海应用技术大学,,,,445,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海建桥学院,,,,388,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海建桥学院,,,,318,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海政法学院,,,,555,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海政法学院,,,,494,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海杉达学院,,,,390,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海杉达学院,,,,320,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海海事大学,,,,567,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海海事大学,,,,504,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海海关学院,,,,543,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海海关学院,,,,479,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海海洋大学,,,,554,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海海洋大学,,,,492,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海理工大学,,,,564,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海理工大学,,,,521,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海电力大学,,,,455,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海电机学院,,,,486,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海电机学院,,,,413,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海立信会计金融学院,,,,544,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海立信会计金融学院,,,,471,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海第二工业大学,,,,520,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海第二工业大学,,,,451,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,上海财经大学,,,,629,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,上海财经大学,,,,619,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上海财经大学浙江学院,,,,405,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上海财经大学浙江学院,,,,331,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科二批,上饶师范学院,,,,463,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科二批,上饶师范学院,,,,361,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,东北农业大学,,,,538,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,东北农业大学,,,,479,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,东北大学,,,,543,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,东北大学秦皇岛分校,,,,506,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,东北师范大学,,,,570,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,物理,本科一批,东北师范大学,,,,513,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,广西,历史,本科一批,东北林业大学,,,,550,,广西招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
