年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,青海,历史,本科三批,三亚学院,,,,387,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科三批,三亚学院,,,,329,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科一批,三峡大学,,,,465,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,三峡大学,,,,403,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科三批,三峡大学科技学院,,,,394,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科三批,三峡大学科技学院,,,,338,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,上海交通大学,,,,629,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,上海交通大学医学院,,,,628,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科一批,上海外国语大学,,,,514,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,上海外国语大学,,,,402,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科一批,上海师范大学,,,,468,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,上海师范大学,,,,425,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科三批,上海建桥学院,,,,396,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科三批,上海建桥学院,,,,329,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科二批,上海海关学院,,,,484,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科二批,上海海关学院,,,,420,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,上海海洋大学,,,,398,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,上海电力大学,,,,424,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科二批,上海电机学院,,,,443,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科二批,上海电机学院,,,,357,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科一批,上海立信会计金融学院,,,,484,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,上海立信会计金融学院,,,,458,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,上海财经大学,,,,428,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科二批,上饶师范学院,,,,441,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科二批,上饶师范学院,,,,365,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科一批,东北农业大学,,,,470,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,东北农业大学,,,,410,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,东北大学,,,,466,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,东北大学秦皇岛分校,,,,405,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,历史,本科一批,东北师范大学,,,,522,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,青海,物理,本科一批,东北师范大学,,,,400,,青海省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
